Setup,Learning_scenario,Metric,NHiTS,Transformer,TSMixer
ELD_to_Bavaria,Zero-Shot,MSE,0.0015499592452463482,0.0016211847603589183,0.0014435316770686768
ELD_to_Bavaria,Zero-Shot,MAE,0.028905115647693023,0.029793069997774153,0.027415617259755505
ELD_to_Bavaria,four_weeks_tl,MSE,0.0003926018615250844,0.0016009823775675613,0.0005027635313650314
ELD_to_Bavaria,four_weeks_tl,MAE,0.011223173985137802,0.029578446357680314,0.013881164176079134
ELD_to_Bavaria,full_tl,MSE,0.0003032230566173949,0.0016211847603589183,0.00031653231122397824
ELD_to_Bavaria,full_tl,MAE,0.009564430960877375,0.029793069997774153,0.0094168741559384
ELD_to_Bavaria,full_training,MSE,0.0003032230566173949,0.0016211847603589183,0.00031653231122397824
ELD_to_Bavaria,full_training,MAE,0.009564430960877375,0.029793069997774153,0.0094168741559384
ELD_to_Bavaria,four_weeks_training,MSE,0.0003032230566173949,0.0016211847603589183,0.00031653231122397824
ELD_to_Bavaria,four_weeks_training,MAE,0.009564430960877375,0.029793069997774153,0.0094168741559384
ELD_to_GP2,Zero-Shot,MSE,0.9125485817954571,0.9871124237285454,1.2380423755052974
ELD_to_GP2,Zero-Shot,MAE,0.6044190626257734,0.6562300934652088,0.7041757851566649
ELD_to_GP2,four_weeks_tl,MSE,0.8533958562222433,,0.766911665961773
ELD_to_GP2,four_weeks_tl,MAE,0.5670090451210029,,0.4784080776806505
ELD_to_GP2,full_tl,MSE,0.7842564344733027,,0.5897145616180064
ELD_to_GP2,full_tl,MAE,0.5388265483122203,,0.39681108200571874
ELD_to_GP2,full_training,MSE,0.7842564344733027,,0.5897145616180064
ELD_to_GP2,full_training,MAE,0.5388265483122203,,0.39681108200571874
ELD_to_GP2,four_weeks_training,MSE,0.7842564344733027,,0.5897145616180064
ELD_to_GP2,four_weeks_training,MAE,0.5388265483122203,,0.39681108200571874
Bavaria_to_ELD,Zero-Shot,MSE,14.53516956837508,10.411747170190742,
Bavaria_to_ELD,Zero-Shot,MAE,3.4168024263242733,2.856123332994698,
Bavaria_to_ELD,four_weeks_tl,MSE,0.4437374124561783,0.9581434215507368,
Bavaria_to_ELD,four_weeks_tl,MAE,0.48214841383869633,0.8129713979080646,
Bavaria_to_ELD,full_tl,MSE,0.9487878690018271,,
Bavaria_to_ELD,full_tl,MAE,0.8096747169964504,,
Bavaria_to_ELD,full_training,MSE,0.9487878690018271,,
Bavaria_to_ELD,full_training,MAE,0.8096747169964504,,
Bavaria_to_ELD,four_weeks_training,MSE,0.9487878690018271,,
Bavaria_to_ELD,four_weeks_training,MAE,0.8096747169964504,,
Bavaria_to_GP2,Zero-Shot,MSE,,,
Bavaria_to_GP2,Zero-Shot,MAE,,,
Bavaria_to_GP2,four_weeks_tl,MSE,,,
Bavaria_to_GP2,four_weeks_tl,MAE,,,
Bavaria_to_GP2,full_tl,MSE,,,
Bavaria_to_GP2,full_tl,MAE,,,
Bavaria_to_GP2,full_training,MSE,,,
Bavaria_to_GP2,full_training,MAE,,,
Bavaria_to_GP2,four_weeks_training,MSE,,,
Bavaria_to_GP2,four_weeks_training,MAE,,,
GP2_to_Bavaria,Zero-Shot,MSE,,,
GP2_to_Bavaria,Zero-Shot,MAE,,,
GP2_to_Bavaria,four_weeks_tl,MSE,,,
GP2_to_Bavaria,four_weeks_tl,MAE,,,
GP2_to_Bavaria,full_tl,MSE,,,
GP2_to_Bavaria,full_tl,MAE,,,
GP2_to_Bavaria,full_training,MSE,,,
GP2_to_Bavaria,full_training,MAE,,,
GP2_to_Bavaria,four_weeks_training,MSE,,,
GP2_to_Bavaria,four_weeks_training,MAE,,,
GP2_to_ELD,Zero-Shot,MSE,,,
GP2_to_ELD,Zero-Shot,MAE,,,
GP2_to_ELD,four_weeks_tl,MSE,,,
GP2_to_ELD,four_weeks_tl,MAE,,,
GP2_to_ELD,full_tl,MSE,,,
GP2_to_ELD,full_tl,MAE,,,
GP2_to_ELD,full_training,MSE,,,
GP2_to_ELD,full_training,MAE,,,
GP2_to_ELD,four_weeks_training,MSE,,,
GP2_to_ELD,four_weeks_training,MAE,,,
