,Source,Learning_scenario,Metric,NHiTS,Transformer,TSMixer,iTransformer,TimeGPT
0,ELD,Zero-Shot,MAE,0.0241916052764281,0.0292920678691712,0.0270511589337591,0.4619328379631042,0.02199864054897
1,ELD,Zero-Shot,MSE,0.0011619721143771,0.0016301126703514,0.0014462678080952,0.2414255440235138,0.0229165225090192
2,ELD,four_weeks_tl,MAE,0.0102977876147523,0.0109991369024624,0.0107883232104182,0.0229709390550851,
3,ELD,four_weeks_tl,MSE,0.0003533019369873,0.0004884564950151,0.0004719898733555,0.0009759642416611,
4,ELD,full_tl,MAE,0.0096010242123156,0.0092492845777252,0.009015771598294,0.0088414819911122,
5,ELD,full_tl,MSE,0.0003052944261911,0.0003182670415795,0.0002987071604062,0.0002571638906374,
6,GP2,Zero-Shot,MAE,0.0697668936301135,0.0284743418345566,0.0381226311578895,0.4357680082321167,0.02199864054897
7,GP2,Zero-Shot,MSE,0.0122102323560587,0.0015785056249032,0.0027989353634025,0.2265451848506927,0.0229165225090192
8,GP2,four_weeks_tl,MAE,0.0143883380682602,0.0111651701789179,0.0108518503821511,0.0146000878885388,
9,GP2,four_weeks_tl,MSE,0.0005894594475896,0.0004855796206205,0.0004909613785388,0.0005225213826633,
10,GP2,full_tl,MAE,0.0092759056000927,0.0091004347433971,0.0096217635163515,0.0142028741538524,
11,GP2,full_tl,MSE,0.0002933768815692,0.0003121725907421,0.0003498290613165,0.0004587945295497,
0,Bavaria,four_weeks_training,MAE,0.0105569081700223,0.0109060111113428,0.0120961670799067,0.0271862894296646,
1,Bavaria,four_weeks_training,MSE,0.0003679886136028,0.0004973394477474,0.0005464457785819,0.001323411357589,
2,Bavaria,full_training,MAE,0.0090468952592786,0.0092475742390943,0.0095169393426851,0.0073105311021208,
3,Bavaria,full_training,MSE,0.0002993615488238,0.0003164418725315,0.0003588887631408,0.0002147879567928,
