,Source,Learning_scenario,Metric,NHiTS,Transformer,TSMixer,iTransformer,TimeGPT
12,Bavaria,Zero-Shot,MAE,3.264932691180793,2.759903951282919,2.8098066309942817,1.173638939857483,0.0374420010324182
13,Bavaria,Zero-Shot,MSE,14.306584525282366,9.778874709658378,13.597931550367036,2.735579013824463,0.0667750591347957
14,Bavaria,four_weeks_tl,MAE,0.6430946325298643,0.8127135359240274,0.8020769110778823,0.4059149324893951,
15,Bavaria,four_weeks_tl,MSE,0.686742977667464,0.954347985069247,0.9284379100495012,0.3372935652732849,
16,Bavaria,full_tl,MAE,0.4147567070857452,0.8099715135393352,0.3005567105745312,0.301229864358902,
17,Bavaria,full_tl,MSE,0.3637200060987124,0.9491706920148684,0.2146512293222829,0.2110592126846313,
18,GP2,Zero-Shot,MAE,0.812092943783224,0.8141268665773155,0.7128514448439118,0.4513187408447265,0.0374420010324182
19,GP2,Zero-Shot,MSE,0.9585187774505058,1.1014276031595076,0.8646119454481306,0.4504185914993286,0.0667750591347957
20,GP2,four_weeks_tl,MAE,0.51920172387231,0.4714823670304605,0.3737660650789303,0.3004574477672577,
21,GP2,four_weeks_tl,MSE,0.4855093759668134,0.4465777114795072,0.3115430969989647,0.2214540839195251,
22,GP2,full_tl,MAE,0.4240681595937179,0.4160284879651383,0.3017237502673681,0.2657287418842315,
23,GP2,full_tl,MSE,0.3742450738366503,0.3647777410971857,0.2142016369115262,0.1804913431406021,
4,ELD,four_weeks_training,MAE,0.4742045535767165,0.8133289767225294,0.4855023015045772,0.3514757454395294,
5,ELD,four_weeks_training,MSE,0.4340198081340233,0.9542782158747206,0.480003633638368,0.2646385729312897,
6,ELD,full_training,MAE,0.4149606778238812,0.8703437065773637,0.3090502941423524,0.2664617598056793,
7,ELD,full_training,MSE,0.3588575653894974,1.1885923996132657,0.2268470149405681,0.1820233315229416,
