Target,Learning_scenario,Metric,iTransformer
ELD,Zero-Shot,MSE,
ELD,Zero-Shot,MAE,
ELD,four_weeks_tl,MSE,
ELD,four_weeks_tl,MAE,
ELD,full_tl,MSE,
ELD,full_tl,MAE,
ELD,full_training,MSE,0.17792946100234985
ELD,full_training,MAE,0.26198500394821167
ELD,four_weeks_training,MSE,0.2512463927268982
ELD,four_weeks_training,MAE,0.33686405420303345
Bavaria,Zero-Shot,MSE,
Bavaria,Zero-Shot,MAE,
Bavaria,four_weeks_tl,MSE,
Bavaria,four_weeks_tl,MAE,
Bavaria,full_tl,MSE,
Bavaria,full_tl,MAE,
Bavaria,full_training,MSE,0.00021478795679286122
Bavaria,full_training,MAE,0.007310531102120876
Bavaria,four_weeks_training,MSE,0.001323411357589066
Bavaria,four_weeks_training,MAE,0.027186289429664612
GP2,Zero-Shot,MSE,
GP2,Zero-Shot,MAE,
GP2,four_weeks_tl,MSE,
GP2,four_weeks_tl,MAE,
GP2,full_tl,MSE,
GP2,full_tl,MAE,
GP2,full_training,MSE,0.4660432040691376
GP2,full_training,MAE,0.35379016399383545
GP2,four_weeks_training,MSE,0.5536304116249084
GP2,four_weeks_training,MAE,0.41227322816848755
