Setup,Learning_scenario,Metric,iTransformer
ELD_to_Bavaria,Zero-Shot,MSE,0.2414255440235138
ELD_to_Bavaria,Zero-Shot,MAE,0.46193283796310425
ELD_to_Bavaria,four_weeks_tl,MSE,0.0009385995799675584
ELD_to_Bavaria,four_weeks_tl,MAE,0.02235214225947857
ELD_to_Bavaria,full_tl,MSE,0.00025262351846322417
ELD_to_Bavaria,full_tl,MAE,0.008559973910450935
ELD_to_Bavaria,full_training,MSE,
ELD_to_Bavaria,full_training,MAE,
ELD_to_Bavaria,four_weeks_training,MSE,
ELD_to_Bavaria,four_weeks_training,MAE,
ELD_to_GP2,Zero-Shot,MSE,0.6841549277305603
ELD_to_GP2,Zero-Shot,MAE,0.48201286792755127
ELD_to_GP2,four_weeks_tl,MSE,0.5482085347175598
ELD_to_GP2,four_weeks_tl,MAE,0.400981605052948
ELD_to_GP2,full_tl,MSE,0.4658234715461731
ELD_to_GP2,full_tl,MAE,0.35724297165870667
ELD_to_GP2,full_training,MSE,
ELD_to_GP2,full_training,MAE,
ELD_to_GP2,four_weeks_training,MSE,
ELD_to_GP2,four_weeks_training,MAE,
Bavaria_to_ELD,Zero-Shot,MSE,2.1915979385375977
Bavaria_to_ELD,Zero-Shot,MAE,1.1967716217041016
Bavaria_to_ELD,four_weeks_tl,MSE,0.2742033302783966
Bavaria_to_ELD,four_weeks_tl,MAE,0.35904964804649353
Bavaria_to_ELD,full_tl,MSE,0.17939424514770508
Bavaria_to_ELD,full_tl,MAE,0.2678128480911255
Bavaria_to_ELD,full_training,MSE,
Bavaria_to_ELD,full_training,MAE,
Bavaria_to_ELD,four_weeks_training,MSE,
Bavaria_to_ELD,four_weeks_training,MAE,
Bavaria_to_GP2,Zero-Shot,MSE,2.3386478424072266
Bavaria_to_GP2,Zero-Shot,MAE,1.052080750465393
Bavaria_to_GP2,four_weeks_tl,MSE,0.5520849823951721
Bavaria_to_GP2,four_weeks_tl,MAE,0.41442152857780457
Bavaria_to_GP2,full_tl,MSE,0.45859235525131226
Bavaria_to_GP2,full_tl,MAE,0.35394302010536194
Bavaria_to_GP2,full_training,MSE,
Bavaria_to_GP2,full_training,MAE,
Bavaria_to_GP2,four_weeks_training,MSE,
Bavaria_to_GP2,four_weeks_training,MAE,
GP2_to_Bavaria,Zero-Shot,MSE,0.22654518485069275
GP2_to_Bavaria,Zero-Shot,MAE,0.4357680082321167
GP2_to_Bavaria,four_weeks_tl,MSE,0.00047158155939541757
GP2_to_Bavaria,four_weeks_tl,MAE,0.013903900049626827
GP2_to_Bavaria,full_tl,MSE,0.0004252491344232112
GP2_to_Bavaria,full_tl,MAE,0.013972042128443718
GP2_to_Bavaria,full_training,MSE,
GP2_to_Bavaria,full_training,MAE,
GP2_to_Bavaria,four_weeks_training,MSE,
GP2_to_Bavaria,four_weeks_training,MAE,
GP2_to_ELD,Zero-Shot,MSE,0.3314289450645447
GP2_to_ELD,Zero-Shot,MAE,0.3924878239631653
GP2_to_ELD,four_weeks_tl,MSE,0.21033479273319244
GP2_to_ELD,four_weeks_tl,MAE,0.2925378084182739
GP2_to_ELD,full_tl,MSE,0.17991410195827484
GP2_to_ELD,full_tl,MAE,0.2625228762626648
GP2_to_ELD,full_training,MSE,
GP2_to_ELD,full_training,MAE,
GP2_to_ELD,four_weeks_training,MSE,
GP2_to_ELD,four_weeks_training,MAE,
